0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:56 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 200 3271979
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:56 +0900] "GET /AngelPlayer/img/hobby_01.jpg HTTP/1.1" 200 365755
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:56 +0900] "GET /AngelPlayer/img/hobby_02.jpg HTTP/1.1" 200 331882
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:56 +0900] "GET /AngelPlayer/img/hobby_03.jpg HTTP/1.1" 200 537977
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:56 +0900] "GET /AngelPlayer/img/web.png HTTP/1.1" 200 169539
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:56 +0900] "GET /AngelPlayer/img/ai.jpg HTTP/1.1" 200 1428878
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:57 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 8496498
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:57 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 42354
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:57 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 42354
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:57 +0900] "GET /AngelPlayer/media/Keyboard.mp4 HTTP/1.1" 206 7077888
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:50:58 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:51:02 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:51:53 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 7500
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:51:53 +0900] "GET /AngelPlayer/src/initial.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:51:53 +0900] "GET /AngelPlayer/src/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:51:53 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:51:53 +0900] "GET /AngelPlayer/src/main.css HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:51:53 +0900] "GET /AngelPlayer/img/shin01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:15:51:53 +0900] "GET /AngelPlayer/img/hobby_02.jpg HTTP/1.1" 304 -
