0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:28:35 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:28:37 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:28:38 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:28:49 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:28:49 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:29:47 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:29:47 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:29:47 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:29:53 +0900] "GET /AngelPlayer/src/header.jsp HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:29:53 +0900] "GET /AngelPlayer/img/main_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:29:53 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:29:59 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:30:00 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:30:03 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:30:40 +0900] "GET /AngelPlayer/src/main.jsp HTTP/1.1" 200 2575
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:30:40 +0900] "GET /AngelPlayer/img/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:12:30:40 +0900] "GET /AngelPlayer/img/favicon.ico HTTP/1.1" 200 1150
